machine_id,type_machine,age_machine_jours,derniere_maintenance_jours,temperature_moyenne,vibration_moyenne,pression_moyenne,nb_incidents_3_mois,criticite
MCH-DZ-00000,pompe,5828,49,64.1,4.1,8.48,0,basse
MCH-CG-00001,presse,3318,20,63.8,4.59,6.2,5,basse
MCH-AR-00002,presse,1625,16,63.3,2.88,7.98,4,basse
MCH-SZ-00003,convoyeur,2933,8,54.5,2.9,3.58,3,basse
MCH-IS-00004,convoyeur,223,212,75.9,6.02,9.26,2,basse
MCH-HN-00005,four,4824,118,58.9,5.54,8.6,2,haute
MCH-GR-00006,pompe,608,101,67.4,4.07,7.42,1,basse
MCH-CU-00007,presse,1852,44,64.6,4.66,8.4,2,basse
MCH-LK-00008,compresseur,3391,43,71.0,4.29,10.34,2,basse
MCH-CA-00009,pompe,257,148,82.2,1.19,4.38,2,basse
MCH-GD-00010,convoyeur,475,14,67.3,2.94,8.17,1,basse
MCH-SZ-00011,four,4176,51,75.1,5.25,4.74,1,moyenne
MCH-ST-00012,presse,430,162,66.7,4.08,8.22,1,moyenne
MCH-BT-00013,presse,2862,51,58.9,2.9,7.35,3,basse
MCH-UA-00014,presse,2032,114,63.3,5.26,7.94,1,moyenne
MCH-NO-00015,presse,1368,67,61.6,3.55,10.12,1,basse
MCH-AU-00016,convoyeur,1132,2,71.8,4.13,10.05,1,basse
MCH-AT-00017,pompe,4580,64,66.3,3.56,10.72,2,basse
MCH-BW-00018,four,5709,75,55.5,3.81,7.01,0,moyenne
MCH-GM-00019,convoyeur,841,60,62.3,3.92,9.76,2,basse
MCH-HT-00020,convoyeur,5758,24,46.7,4.95,9.27,4,haute
MCH-SD-00021,compresseur,3568,61,62.8,5.14,7.07,4,moyenne
MCH-UY-00022,pompe,3849,8,65.0,2.32,8.29,0,basse
MCH-AR-00023,four,4259,50,86.7,3.53,7.67,2,moyenne
MCH-TJ-00024,presse,4224,121,81.2,4.91,11.49,1,moyenne
MCH-FJ-00025,presse,4918,204,52.6,2.8,10.03,1,moyenne
MCH-VC-00026,convoyeur,2900,182,67.4,1.04,7.16,2,basse
MCH-CF-00027,four,3200,28,67.6,1.64,6.99,0,basse
MCH-ME-00028,convoyeur,1942,17,62.2,1.74,10.39,2,basse
MCH-ST-00029,convoyeur,631,81,63.0,2.31,11.35,1,basse
MCH-NL-00030,convoyeur,3987,71,60.8,1.88,8.79,0,basse
MCH-GN-00031,compresseur,201,108,87.5,4.54,9.65,3,haute
MCH-PE-00032,pompe,1653,40,60.0,2.58,11.26,1,basse
MCH-TZ-00033,convoyeur,565,73,69.1,4.89,7.56,3,basse
MCH-IT-00034,four,1144,70,34.7,1.3,8.21,1,moyenne
MCH-AF-00035,pompe,3832,52,74.9,2.47,9.22,2,basse
MCH-PS-00036,four,3770,13,79.2,3.16,6.93,2,basse
MCH-DJ-00037,four,2526,119,52.4,4.22,12.25,2,basse
MCH-MC-00038,compresseur,541,81,58.9,4.72,6.9,4,moyenne
MCH-NO-00039,presse,2600,126,70.4,2.19,8.15,3,moyenne
MCH-LV-00040,pompe,2116,147,65.2,4.49,12.79,2,basse
MCH-IT-00041,presse,4322,65,70.6,0.48,3.35,4,moyenne
MCH-DE-00042,presse,3474,120,61.6,4.31,8.54,2,moyenne
MCH-GM-00043,compresseur,2949,208,87.4,0.99,6.35,2,moyenne
MCH-LU-00044,pompe,2921,254,57.0,3.67,8.0,1,basse
MCH-CA-00045,four,5797,89,97.3,4.69,4.99,2,haute
MCH-BW-00046,convoyeur,4537,94,79.9,4.33,7.07,1,moyenne
MCH-MU-00047,four,2981,87,75.0,0.54,8.06,1,basse
MCH-BY-00048,presse,2875,105,52.5,2.33,8.6,1,basse
