loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status
10100,60 months,20.95,272.95,E,5 years,RENT,157700,Not Verified,debt_consolidation,8.16,0,682,64.0,Charged Off
22200,60 months,8.2,452.26,B,6 years,RENT,66600,Not Verified,credit_card,19.08,0,701,19.3,Fully Paid
2400,36 months,12.48,80.27,C,3 years,RENT,177100,Source Verified,debt_consolidation,41.71,1,707,59.4,Charged Off
17800,36 months,10.23,576.28,B,4 years,RENT,38000,Source Verified,credit_card,15.62,1,717,51.5,Charged Off
14300,36 months,8.3,450.09,A,10+ years,MORTGAGE,71500,Not Verified,other,14.87,1,749,48.7,Fully Paid
7800,36 months,14.03,266.7,C,6 years,RENT,50900,Not Verified,debt_consolidation,12.35,0,672,87.8,Fully Paid
13600,36 months,11.46,448.22,B,10+ years,MORTGAGE,115800,Verified,debt_consolidation,18.71,0,714,60.3,Fully Paid
24000,36 months,11.97,796.8,B,3 years,MORTGAGE,77300,Source Verified,debt_consolidation,8.63,1,744,42.4,Fully Paid
10800,36 months,6.43,330.67,A,6 years,MORTGAGE,65300,Not Verified,debt_consolidation,16.22,1,755,46.7,Fully Paid
6700,60 months,13.3,153.48,C,< 1 year,RENT,148000,Verified,debt_consolidation,3.9,0,707,56.0,Fully Paid
21900,36 months,14.21,750.73,C,10+ years,RENT,38800,Verified,debt_consolidation,7.07,0,701,46.9,Fully Paid
14900,36 months,17.38,534.05,E,10+ years,MORTGAGE,36900,Source Verified,home_improvement,14.34,0,667,76.5,Fully Paid
14700,36 months,13.79,500.91,C,4 years,RENT,25100,Verified,debt_consolidation,14.62,0,702,69.6,Charged Off
29000,60 months,16.97,720.26,E,5 years,OWN,78900,Source Verified,debt_consolidation,17.07,0,671,45.6,Charged Off
18200,36 months,12.63,609.99,C,< 1 year,RENT,107700,Verified,small_business,29.16,1,704,22.0,Fully Paid
6000,60 months,16.17,146.45,D,4 years,MORTGAGE,23300,Source Verified,debt_consolidation,7.14,0,682,58.7,Fully Paid
9200,36 months,10.25,297.94,B,10+ years,MORTGAGE,197500,Not Verified,debt_consolidation,17.87,0,717,76.2,Fully Paid
20100,36 months,12.84,675.7,B,5 years,MORTGAGE,42800,Verified,home_improvement,7.49,0,715,56.8,Fully Paid
14400,36 months,10.15,465.66,B,2 years,RENT,70200,Not Verified,credit_card,13.13,1,699,37.1,Fully Paid
7900,36 months,13.19,266.91,C,3 years,MORTGAGE,324600,Not Verified,credit_card,30.04,0,689,86.0,Charged Off
9500,36 months,11.39,312.78,B,9 years,RENT,77300,Verified,debt_consolidation,1.95,1,713,30.2,Fully Paid
18300,36 months,11.49,603.37,B,4 years,RENT,51900,Source Verified,major_purchase,18.49,0,718,57.7,Charged Off
2200,36 months,11.6,72.65,B,10+ years,RENT,31400,Source Verified,debt_consolidation,17.28,0,705,79.7,Fully Paid
11500,36 months,5.13,345.34,A,3 years,MORTGAGE,136900,Not Verified,credit_card,23.09,1,736,64.6,Fully Paid
3900,36 months,10.13,126.08,B,3 years,OWN,79200,Source Verified,home_improvement,15.7,0,730,47.1,Fully Paid
21600,36 months,12.51,722.7,C,1 year,RENT,21600,Verified,car,12.95,0,720,53.7,Fully Paid
26100,36 months,20.94,982.52,E,10+ years,MORTGAGE,20700,Verified,small_business,13.76,0,673,73.9,Charged Off
8200,60 months,13.94,190.54,C,10+ years,MORTGAGE,116500,Source Verified,home_improvement,13.82,1,698,25.5,Charged Off
10600,36 months,7.68,330.6,A,10+ years,MORTGAGE,53800,Verified,credit_card,19.26,0,772,58.4,Fully Paid
12300,36 months,13.23,415.8,C,2 years,MORTGAGE,88700,Verified,home_improvement,11.1,0,696,52.5,Fully Paid
17100,60 months,9.49,359.05,B,7 years,MORTGAGE,149100,Source Verified,small_business,10.81,0,722,30.1,Fully Paid
11700,36 months,13.02,394.33,C,10+ years,MORTGAGE,247600,Source Verified,small_business,13.48,0,696,55.2,Fully Paid
9400,36 months,20.76,352.99,E,1 year,MORTGAGE,63800,Verified,debt_consolidation,21.81,0,683,17.9,Charged Off
8100,36 months,9.87,260.87,B,10+ years,RENT,112400,Verified,major_purchase,14.44,0,723,59.8,Charged Off
6200,36 months,12.09,206.2,C,10+ years,OWN,43100,Source Verified,major_purchase,40.98,0,678,31.8,Charged Off
15400,36 months,14.54,530.38,C,3 years,RENT,26300,Verified,debt_consolidation,14.51,0,706,32.6,Fully Paid
5900,36 months,14.55,203.23,C,1 year,RENT,48800,Source Verified,debt_consolidation,10.28,0,700,25.0,Fully Paid
3100,36 months,9.37,99.11,B,6 years,MORTGAGE,55700,Source Verified,debt_consolidation,9.54,0,668,68.6,Charged Off
13800,36 months,16.25,486.87,D,8 years,OWN,37300,Not Verified,debt_consolidation,22.46,0,711,89.8,Fully Paid
29600,36 months,7.54,921.29,B,10+ years,OWN,38900,Verified,credit_card,11.16,1,731,16.7,Fully Paid
8400,36 months,9.85,270.45,B,10+ years,RENT,44500,Verified,credit_card,21.67,0,722,48.6,Charged Off
6600,60 months,10.16,140.75,B,10+ years,RENT,88100,Not Verified,credit_card,15.18,0,714,60.7,Fully Paid
6100,36 months,10.82,199.19,B,10+ years,MORTGAGE,72900,Verified,debt_consolidation,28.28,0,718,58.2,Fully Paid
12500,60 months,9.37,261.73,B,3 years,RENT,57400,Not Verified,debt_consolidation,14.72,0,739,55.3,Fully Paid
7600,60 months,10.15,162.04,B,8 years,MORTGAGE,38400,Source Verified,debt_consolidation,12.81,2,713,49.9,Charged Off
19200,60 months,20.1,509.75,E,6 years,RENT,52200,Source Verified,credit_card,13.29,0,676,16.4,Fully Paid
7600,60 months,10.99,165.2,C,7 years,MORTGAGE,35200,Source Verified,debt_consolidation,40.29,0,681,39.6,Fully Paid
19800,60 months,10.45,425.09,B,8 years,OWN,48900,Source Verified,credit_card,11.63,0,720,25.7,Fully Paid
13200,60 months,9.25,275.61,B,3 years,MORTGAGE,57000,Not Verified,debt_consolidation,17.49,0,727,67.6,Fully Paid
16000,36 months,14.65,551.91,C,4 years,MORTGAGE,57000,Verified,debt_consolidation,18.83,0,708,34.7,Fully Paid
9000,36 months,11.43,296.48,B,< 1 year,RENT,107800,Not Verified,debt_consolidation,18.77,0,736,85.7,Fully Paid
12000,60 months,14.21,280.53,C,1 year,RENT,132000,Verified,debt_consolidation,24.91,0,683,72.9,Fully Paid
10000,36 months,6.41,306.08,A,8 years,OWN,62700,Source Verified,credit_card,17.92,0,740,23.7,Fully Paid
16300,60 months,9.73,344.17,B,2 years,OWN,27300,Source Verified,debt_consolidation,29.21,1,733,49.9,Fully Paid
11300,36 months,10.06,364.94,B,1 year,RENT,186900,Verified,debt_consolidation,5.79,0,706,32.4,Fully Paid
16800,36 months,12.66,563.31,C,1 year,RENT,53700,Source Verified,home_improvement,20.58,0,702,83.6,Fully Paid
